,lat,lon,onset_threshold
747,6.0,36.5,20
748,6.0,36.75,20
749,6.0,37.0,20
750,6.0,37.25,20
751,6.0,37.5,20
752,6.0,37.75,20
753,6.0,38.0,20
754,6.0,38.25,20
755,6.0,38.5,20
756,6.0,38.75,20
757,6.0,39.0,20
758,6.0,39.25,20
759,6.0,39.5,20
760,6.0,39.75,20
761,6.0,40.0,20
762,6.0,40.25,20
763,6.0,40.5,20
764,6.0,40.75,20
765,6.0,41.0,20
766,6.0,41.25,20
767,6.0,41.5,20
768,6.0,41.75,20
769,6.0,42.0,20
770,6.0,42.25,20
771,6.0,42.5,20
772,6.0,42.75,20
773,6.0,43.0,20
774,6.0,43.25,20
775,6.0,43.5,20
776,6.0,43.75,20
777,6.0,44.0,20
778,6.0,44.25,20
779,6.0,44.5,20
780,6.0,44.75,20
781,6.0,45.0,20
782,6.0,45.25,20
783,6.0,45.5,20
784,6.0,45.75,20
785,6.0,46.0,20
786,6.0,46.25,20
787,6.0,46.5,20
788,6.0,46.75,20
789,6.0,47.0,20
790,6.0,47.25,20
791,6.0,47.5,20
792,6.0,47.75,20
793,6.0,48.0,20
794,6.25,33.0,20
795,6.25,33.25,20
796,6.25,33.5,20
797,6.25,33.75,20
798,6.25,34.0,20
799,6.25,34.25,20
800,6.25,34.5,20
801,6.25,34.75,20
802,6.25,35.0,20
803,6.25,35.25,20
804,6.25,35.5,20
805,6.25,35.75,20
806,6.25,36.0,20
807,6.25,36.25,20
808,6.25,36.5,20
809,6.25,36.75,20
810,6.25,37.0,20
811,6.25,37.25,20
812,6.25,37.5,20
813,6.25,37.75,20
814,6.25,38.0,20
815,6.25,38.25,20
816,6.25,38.5,20
817,6.25,38.75,20
818,6.25,39.0,20
819,6.25,39.25,20
820,6.25,39.5,20
821,6.25,39.75,20
822,6.25,40.0,20
823,6.25,40.25,20
824,6.25,40.5,20
825,6.25,40.75,20
826,6.25,41.0,20
827,6.25,41.25,20
828,6.25,41.5,20
829,6.25,41.75,20
830,6.25,42.0,20
831,6.25,42.25,20
832,6.25,42.5,20
833,6.25,42.75,20
834,6.25,43.0,20
835,6.25,43.25,20
836,6.25,43.5,20
837,6.25,43.75,20
838,6.25,44.0,20
839,6.25,44.25,20
840,6.25,44.5,20
841,6.25,44.75,20
842,6.25,45.0,20
843,6.25,45.25,20
844,6.25,45.5,20
845,6.25,45.75,20
846,6.25,46.0,20
847,6.25,46.25,20
848,6.25,46.5,20
849,6.25,46.75,20
850,6.25,47.0,20
851,6.25,47.25,20
852,6.25,47.5,20
853,6.25,47.75,20
854,6.25,48.0,20
855,6.5,33.0,20
856,6.5,33.25,20
857,6.5,33.5,20
858,6.5,33.75,20
859,6.5,34.0,20
860,6.5,34.25,20
861,6.5,34.5,20
862,6.5,34.75,20
863,6.5,35.0,20
864,6.5,35.25,20
865,6.5,35.5,20
866,6.5,35.75,20
867,6.5,36.0,20
868,6.5,36.25,20
869,6.5,36.5,20
870,6.5,36.75,20
871,6.5,37.0,20
872,6.5,37.25,20
873,6.5,37.5,20
874,6.5,37.75,20
875,6.5,38.0,20
876,6.5,38.25,20
877,6.5,38.5,20
878,6.5,38.75,20
879,6.5,39.0,20
880,6.5,39.25,20
881,6.5,39.5,20
882,6.5,39.75,20
883,6.5,40.0,20
884,6.5,40.25,20
885,6.5,40.5,20
886,6.5,40.75,20
887,6.5,41.0,20
888,6.5,41.25,20
889,6.5,41.5,20
890,6.5,41.75,20
891,6.5,42.0,20
892,6.5,42.25,20
893,6.5,42.5,20
894,6.5,42.75,20
895,6.5,43.0,20
896,6.5,43.25,20
897,6.5,43.5,20
898,6.5,43.75,20
899,6.5,44.0,20
900,6.5,44.25,20
901,6.5,44.5,20
902,6.5,44.75,20
903,6.5,45.0,20
904,6.5,45.25,20
905,6.5,45.5,20
906,6.5,45.75,20
907,6.5,46.0,20
908,6.5,46.25,20
909,6.5,46.5,20
910,6.5,46.75,20
911,6.5,47.0,20
912,6.5,47.25,20
913,6.5,47.5,20
914,6.5,47.75,20
915,6.5,48.0,20
916,6.75,33.0,20
917,6.75,33.25,20
918,6.75,33.5,20
919,6.75,33.75,20
920,6.75,34.0,20
921,6.75,34.25,20
922,6.75,34.5,20
923,6.75,34.75,20
924,6.75,35.0,20
925,6.75,35.25,20
